depth;potential.temperature;salinity
6.75;25.2067;33.9317
6.75;25.2117;33.9337
6.75;25.2006;33.9478
6.75;25.1474;34.0113
6.75;24.9822;34.0677
6.75;25.0503;34.0786
6.75;24.9253;34.0987
6.75;24.0472;34.1353
6.75;24.105;34.1854
6.75;24.4344;34.2202
6.75;24.8904;34.232
6.75;25.1133;34.2344
6.75;25.3589;34.2444
6.75;24.5241;34.2751
6.75;24.3812;34.2788
6.75;24.0333;34.2918
6.75;24.3261;34.3309
6.75;24.5701;34.3914
6.75;24.3736;34.4005
6.75;23.7442;34.4068
6.75;23.3828;34.4613
6.75;23.3462;34.4672
6.75;23.3496;34.4678
6.75;23.1832;34.4685
6.75;24.5407;34.4827
6.75;23.5174;34.4846
6.75;23.5218;34.4856
6.75;23.4422;34.487
6.75;23.1132;34.5574
6.75;22.4488;34.5669
6.75;23.6352;34.5795
6.75;22.1494;34.5812
6.75;23.5394;34.6007
6.75;23.6657;34.6169
6.75;23.6385;34.6298
6.75;23.9261;34.6351
6.75;23.7117;34.6442
6.75;23.8163;34.6602
7;26.2183;33.7969
7;26.1453;33.8048
7;25.6998;33.8426
7;25.3075;33.8974
7;25.1174;33.9018
7;25.2085;33.9315
7;25.2112;33.9337
7;25.2004;33.9478
7;25.1379;34.0094
7;24.9844;34.0674
7;25.0512;34.0783
7;24.924;34.0987
7;24.0436;34.1351
7;24.1047;34.1855
7;24.4367;34.2199
7;24.8801;34.2321
7;25.1122;34.2344
7;25.3517;34.2446
7;24.5289;34.2783
7;24.3819;34.2789
7;24.0265;34.2926
7;24.3231;34.3307
7;24.5708;34.3913
7;24.3751;34.4007
7;23.7467;34.4066
7;23.3837;34.4612
7;23.3099;34.4617
7;23.3491;34.4681
7;23.1824;34.4687
7;24.547;34.4736
7;23.5202;34.4845
7;23.5233;34.4854
7;23.4417;34.4868
7;23.1135;34.5573
7;22.4495;34.567
7;23.6355;34.5796
7;22.1493;34.5811
7;23.5392;34.6006
7;23.6654;34.6169
7;23.6387;34.6297
7;23.9379;34.64
7;23.7121;34.644
7;23.8164;34.6605
7.25;26.2191;33.797
7.25;26.1459;33.8047
7.25;25.6999;33.8426
7.25;25.3089;33.8975
7.25;25.1159;33.9018
7.25;25.2025;33.9317
7.25;25.2108;33.9338
7.25;25.2003;33.9477
7.25;25.1163;34.0098
7.25;24.9935;34.0682
7.25;25.0628;34.0764
7.25;24.9249;34.0991
7.25;24.0413;34.1348
7.25;24.1047;34.1855
7.25;24.4377;34.2195
7.25;24.8749;34.2317
7.25;25.114;34.2341
7.25;25.3716;34.2479
7.25;24.558;34.2761
7.25;24.3817;34.279
7.25;24.0253;34.293
7.25;24.3212;34.3311
7.25;24.5705;34.3913
7.25;24.3738;34.4005
7.25;23.7469;34.4064
7.25;23.3823;34.4611
7.25;23.3485;34.468
7.25;23.2106;34.4682
7.25;23.1823;34.4689
7.25;24.5364;34.4731
